target_id	length	eff_length	est_counts	tpm
Solyd01g050010.1	1179	1000	19	6.27153
Solyd01g050020.1	456	277	0	0
Solyd01g050030.1	393	214	0	0
Solyd01g050040.1	360	181	1	1.82365
Solyd01g050050.1	1981	1802	0	0
Solyd01g050060.1	807	628	384.289	201.985
Solyd01g050070.1	438	259	0	0
Solyd01g050080.1	618	439	2.48165	1.86593
Solyd01g050090.1	1527	1348	149	36.4852
Solyd01g050110.1	2125	1946	57.5184	9.75627
Solyd01g050100.1	456	277	7	8.34139
Solyd01g050120.1	801	622	752.711	399.446
Solyd01g050130.1	2411	2232	143	21.1476
Solyd01g050140.1	771	592	0	0
Solyd01g050150.1	2415	2236	15	2.21432
Solyd01g050160.1	1374	1195	55	15.192
Solyd01g050170.1	1131	952	0	0
Solyd01g050180.1	456	277	153	182.319
Solyd01g050190.1	393	214	21	32.3911
Solyd01g050200.1	924	745	17	7.53204
Solyd01g050210.1	1017	838	257	101.23
Solyd01g050220.1	1371	1192	16.8637	4.66977
Solyd01g050230.1	915	736	0	0
Solyd01g050240.1	522	343	0	0
Solyd01g050250.1	501	322	0	0
Solyd01g050260.1	477	298	8	8.86123
Solyd01g050270.1	1338	1159	39	11.1071
Solyd01g050280.1	896	717	14	6.44509
Solyd01g050290.1	888	709	4	1.86223
Solyd01g050300.1	978	799	70	28.9182
Solyd01g050310.1	1572	1393	69	16.35
Solyd01g050320.1	2694	2515	285	37.4048
Solyd01g050330.1	744	565	0	0
Solyd01g050340.1	1611	1432	0	0
Solyd01g050350.1	1954	1775	380	70.6652
Solyd01g050360.1	1224	1045	87	27.4804
Solyd01g050370.1	483	304	6.36924e-07	6.91567e-07
Solyd01g050380.1	1078	899	36.1363	13.268
Solyd01g050390.1	708	529	9	5.61574
Solyd01g050400.1	723	544	57	34.5857
Solyd01g050410.1	723	544	28	16.9894
Solyd01g050420.1	1068	889	60	22.2777
Solyd01g050430.1	1704	1525	57.5376	12.4538
Solyd01g050440.1	612	433	5.26505	4.0136
Solyd01g050450.1	2125	1946	0	0
Solyd01g050460.1	1800	1621	52	10.5886
Solyd01g050470.1	2574	2395	66	9.09617
Solyd01g050480.1	840	661	0	0
